name,department,account_status,sharepoint_access,antivirus_status
Matteo Duarte,RH,Ativo,Membro,Atualizado
Sr. Davi Luiz Ribeiro,RH,Inativo,Membro,Quarentena
Dr. Vitor Hugo Sá,Marketing,Inativo,Visitante,Atualizado
Dra. Sophie Moraes,Financeiro,Ativo,Owner,Atualizado
Manuela Porto,Operações,Ativo,Owner,Quarentena
Paulo Rocha,Financeiro,Ativo,Visitante,Quarentena
Antônio Costa,Vendas,Ativo,Visitante,Atualizado
Dr. Benjamin Mendonça,Vendas,Ativo,Owner,Atualizado
Yago da Costa,RH,Inativo,Membro,Quarentena
Bruno Silva,RH,Inativo,Membro,Quarentena
Luiz Gustavo Novaes,Operações,Ativo,Visitante,Atualizado
Hadassa Novaes,Operações,Ativo,Visitante,Quarentena
José Miguel Casa Grande,RH,Ativo,Membro,Quarentena
Pedro Henrique Sampaio,Financeiro,Inativo,Owner,Quarentena
Ester Sampaio,Operações,Inativo,Visitante,Atualizado
Ana Vitória Cassiano,Financeiro,Ativo,Visitante,Quarentena
Arthur Gabriel Leão,Marketing,Ativo,Membro,Quarentena
Vitor Rezende,Operações,Inativo,Visitante,Atualizado
Dra. Laís Vasconcelos,Vendas,Inativo,Owner,Atualizado
Dr. André Nogueira,RH,Inativo,Visitante,Atualizado
Kaique Nunes,TI,Inativo,Membro,Atualizado
Breno Farias,Marketing,Ativo,Owner,Atualizado
Alana da Cunha,Marketing,Ativo,Visitante,Quarentena
Stephany Andrade,Marketing,Inativo,Membro,Atualizado
Daniel Cavalcanti,RH,Ativo,Visitante,Atualizado
Dr. Diogo Viana,Marketing,Inativo,Visitante,Atualizado
Emanuella Cavalcante,RH,Ativo,Owner,Atualizado
Henry Machado,Financeiro,Ativo,Visitante,Quarentena
Helena Fonseca,Financeiro,Inativo,Membro,Quarentena
Josué Jesus,Marketing,Inativo,Membro,Atualizado
Evelyn Silveira,Vendas,Ativo,Owner,Quarentena
Carlos Eduardo Pires,Financeiro,Inativo,Visitante,Atualizado
Agatha Aparecida,TI,Ativo,Membro,Atualizado
Eloah Ramos,Marketing,Ativo,Owner,Quarentena
Srta. Olívia Duarte,TI,Inativo,Membro,Atualizado
Srta. Antonella Moura,Vendas,Inativo,Membro,Quarentena
Dr. Calebe Farias,Marketing,Ativo,Owner,Atualizado
Letícia Ferreira,Marketing,Ativo,Membro,Atualizado
Ana Laura Rezende,RH,Ativo,Visitante,Quarentena
Caroline Sales,Vendas,Inativo,Owner,Atualizado
Heloísa Sales,Marketing,Ativo,Visitante,Quarentena
Giovanna Gomes,RH,Ativo,Owner,Atualizado
Luna Souza,Vendas,Ativo,Visitante,Quarentena
Dra. Emanuelly Almeida,TI,Inativo,Owner,Quarentena
Beatriz Duarte,RH,Ativo,Membro,Atualizado
Diogo Lopes,Operações,Inativo,Membro,Atualizado
Gael Henrique Abreu,RH,Inativo,Visitante,Atualizado
Ravy Borges,Vendas,Ativo,Membro,Quarentena
Enzo Cardoso,Marketing,Ativo,Owner,Atualizado
Ísis Alves,Marketing,Inativo,Visitante,Atualizado
Brenda Alves,Vendas,Inativo,Visitante,Quarentena
Maya Leão,Financeiro,Inativo,Membro,Atualizado
Luiz Felipe Fernandes,Financeiro,Inativo,Membro,Atualizado
Pietro da Rosa,Operações,Inativo,Membro,Atualizado
Caio Casa Grande,Financeiro,Inativo,Visitante,Atualizado
Jade Silva,Operações,Ativo,Owner,Quarentena
Lorena Rezende,Operações,Ativo,Visitante,Quarentena
Hellena Araújo,Vendas,Ativo,Visitante,Atualizado
Alexia Pinto,TI,Inativo,Visitante,Atualizado
Dr. José Miguel Gomes,RH,Ativo,Membro,Atualizado
Maria Vitória da Rocha,Operações,Ativo,Membro,Atualizado
Thiago Cardoso,Vendas,Ativo,Visitante,Quarentena
Lorenzo Macedo,RH,Inativo,Owner,Atualizado
Maria Clara Nascimento,Marketing,Inativo,Membro,Atualizado
Sra. Sophie Martins,TI,Ativo,Owner,Quarentena
Enzo Gabriel Cirino,TI,Ativo,Owner,Quarentena
Isaac da Mota,Vendas,Inativo,Visitante,Quarentena
Srta. Lunna Fernandes,Operações,Ativo,Owner,Atualizado
Gustavo Macedo,Vendas,Ativo,Owner,Quarentena
Henry Araújo,Financeiro,Inativo,Visitante,Atualizado
Dr. Gabriel Vargas,Vendas,Ativo,Membro,Quarentena
Dr. Luiz Henrique da Conceição,Financeiro,Inativo,Owner,Quarentena
Lunna da Rosa,Vendas,Inativo,Membro,Quarentena
Sr. Gustavo Henrique Duarte,Marketing,Inativo,Membro,Atualizado
Letícia Lopes,RH,Inativo,Membro,Atualizado
Esther da Costa,Marketing,Inativo,Membro,Quarentena
Emilly Costela,RH,Inativo,Membro,Atualizado
Henrique Casa Grande,Marketing,Inativo,Membro,Quarentena
Luigi Camargo,RH,Ativo,Membro,Atualizado
Théo Vasconcelos,Operações,Ativo,Visitante,Atualizado
Davi Rios,Financeiro,Ativo,Visitante,Atualizado
Yuri Barros,Financeiro,Ativo,Owner,Quarentena
Arthur Miguel Almeida,Operações,Inativo,Visitante,Atualizado
Ana Laura Teixeira,TI,Ativo,Membro,Atualizado
Pedro Lucas Moreira,Operações,Ativo,Owner,Quarentena
Ravi Lucca Cirino,RH,Inativo,Membro,Atualizado
Elisa Monteiro,Operações,Ativo,Visitante,Quarentena
Sra. Marina Silveira,Marketing,Ativo,Visitante,Quarentena
Melina Rezende,Marketing,Inativo,Visitante,Atualizado
Dra. Emanuelly Vieira,Marketing,Inativo,Membro,Quarentena
Laura Ferreira,Marketing,Ativo,Membro,Atualizado
Maria Eduarda Dias,Marketing,Inativo,Owner,Quarentena
Antônio Melo,Vendas,Inativo,Visitante,Atualizado
Nicole Mendes,Vendas,Inativo,Visitante,Atualizado
Ryan Cirino,Operações,Inativo,Visitante,Quarentena
Lunna Montenegro,Vendas,Inativo,Membro,Quarentena
Isabel Peixoto,Vendas,Ativo,Owner,Quarentena
Emanuel Andrade,Operações,Ativo,Visitante,Atualizado
Sra. Bianca Viana,Operações,Ativo,Owner,Atualizado
Maria Luísa Sales,Vendas,Inativo,Visitante,Quarentena
Nicole Moura,Marketing,Ativo,Visitante,Quarentena
Vitor Gabriel Duarte,Financeiro,Ativo,Membro,Atualizado
Otto Porto,Vendas,Inativo,Visitante,Atualizado
Antony Cassiano,RH,Inativo,Visitante,Quarentena
Sra. Esther Vargas,Marketing,Inativo,Membro,Quarentena
Carolina Machado,TI,Inativo,Membro,Quarentena
Matheus Cardoso,RH,Ativo,Membro,Quarentena
Melina Garcia,Operações,Ativo,Visitante,Quarentena
Heloísa Rocha,Marketing,Ativo,Membro,Atualizado
Mathias Lima,Marketing,Ativo,Owner,Atualizado
Caroline Freitas,RH,Ativo,Owner,Quarentena
Caio Gomes,RH,Inativo,Membro,Quarentena
Miguel Nogueira,RH,Ativo,Membro,Atualizado
Maya Mendonça,Operações,Ativo,Owner,Quarentena
Arthur Miguel Albuquerque,RH,Ativo,Owner,Quarentena
Felipe Rocha,TI,Inativo,Membro,Atualizado
Emilly Pinto,TI,Ativo,Owner,Quarentena
Maria Luiza da Costa,Operações,Ativo,Owner,Quarentena
Théo Costa,Vendas,Ativo,Owner,Quarentena
Laís Cunha,Financeiro,Ativo,Visitante,Atualizado
Dr. Yan Pereira,Vendas,Inativo,Membro,Atualizado
Pedro Miguel Campos,Financeiro,Ativo,Visitante,Quarentena
Bernardo Rocha,Financeiro,Inativo,Visitante,Quarentena
Vitor Sales,Marketing,Ativo,Owner,Atualizado
Ian Andrade,TI,Ativo,Owner,Quarentena
João Pedro Cassiano,Marketing,Ativo,Membro,Quarentena
Fernando Vieira,Vendas,Ativo,Owner,Atualizado
Maria Fernanda Cunha,Operações,Ativo,Visitante,Atualizado
Gustavo Henrique Costa,TI,Inativo,Visitante,Atualizado
Lorena Pinto,TI,Inativo,Membro,Atualizado
Sr. Danilo Cassiano,TI,Ativo,Visitante,Atualizado
Dr. Davi Sousa,TI,Ativo,Owner,Atualizado
Henrique Viana,Marketing,Ativo,Visitante,Quarentena
Heitor Lima,Operações,Inativo,Visitante,Quarentena
Gustavo Henrique Pinto,Vendas,Inativo,Visitante,Atualizado
Mariana Barbosa,TI,Inativo,Visitante,Quarentena
Srta. Ayla Albuquerque,Operações,Ativo,Visitante,Quarentena
Srta. Maria Helena da Conceição,Vendas,Ativo,Visitante,Atualizado
Lunna Cunha,Vendas,Ativo,Owner,Atualizado
Ayla Azevedo,Operações,Inativo,Membro,Quarentena
Vinícius Araújo,Marketing,Ativo,Membro,Atualizado
Bruno Melo,Marketing,Ativo,Membro,Atualizado
Otávio Casa Grande,Operações,Ativo,Membro,Atualizado
Lara Duarte,Vendas,Ativo,Visitante,Quarentena
Luiz Fernando Cavalcanti,Vendas,Ativo,Owner,Atualizado
Léo Pereira,Operações,Inativo,Visitante,Atualizado
Heloisa da Cruz,Marketing,Ativo,Membro,Atualizado
Ana Cecília Fonseca,Operações,Inativo,Membro,Quarentena
Vitor Montenegro,Financeiro,Ativo,Membro,Quarentena
Emanuel Correia,Marketing,Inativo,Visitante,Quarentena
Marcelo Ferreira,Vendas,Ativo,Membro,Quarentena
Isabella Rodrigues,Vendas,Ativo,Owner,Atualizado
Gael Sampaio,TI,Ativo,Membro,Quarentena
Sr. José Miguel Silva,Marketing,Ativo,Owner,Quarentena
Allana da Rosa,Operações,Inativo,Visitante,Atualizado
Luna Andrade,Operações,Inativo,Membro,Atualizado
Maya Rodrigues,TI,Inativo,Membro,Atualizado
Sra. Sophia Caldeira,Operações,Inativo,Visitante,Atualizado
Sr. Isaque Pastor,Financeiro,Inativo,Visitante,Atualizado
Gabriel Andrade,Marketing,Inativo,Membro,Quarentena
Ana Clara Aparecida,Operações,Ativo,Membro,Atualizado
Luna da Rocha,Financeiro,Inativo,Membro,Atualizado
Ryan Caldeira,Operações,Ativo,Visitante,Quarentena
Agatha Rodrigues,TI,Inativo,Membro,Quarentena
Sr. Enzo Gabriel Montenegro,Operações,Ativo,Owner,Atualizado
Ayla Pastor,Financeiro,Inativo,Membro,Quarentena
Vitor Freitas,Marketing,Inativo,Membro,Quarentena
Sophia Duarte,Marketing,Ativo,Visitante,Atualizado
Dr. Rhavi Farias,Operações,Ativo,Visitante,Quarentena
Mariana Farias,TI,Inativo,Membro,Quarentena
Calebe Rezende,Financeiro,Ativo,Visitante,Atualizado
Nicolas Correia,Marketing,Inativo,Visitante,Atualizado
Sra. Maria Sophia Novaes,Marketing,Ativo,Membro,Atualizado
Bella Pastor,Financeiro,Ativo,Owner,Atualizado
Dra. Daniela Silveira,RH,Inativo,Membro,Quarentena
Dr. Benjamim Cunha,Marketing,Ativo,Visitante,Quarentena
Davi Lucca da Rosa,Marketing,Inativo,Membro,Quarentena
Rael Costa,TI,Inativo,Visitante,Atualizado
Allana Borges,Financeiro,Inativo,Owner,Atualizado
Pedro Miguel Viana,Financeiro,Ativo,Membro,Quarentena
Caroline Nunes,Marketing,Ativo,Visitante,Quarentena
Maysa da Paz,TI,Ativo,Owner,Atualizado
Asafe Cavalcante,TI,Ativo,Owner,Atualizado
Yago Rocha,TI,Ativo,Owner,Quarentena
Henry Albuquerque,Marketing,Inativo,Visitante,Atualizado
Yan Carvalho,Financeiro,Inativo,Visitante,Atualizado
Ana Liz Farias,Vendas,Ativo,Membro,Quarentena
Antony Viana,RH,Inativo,Membro,Atualizado
Guilherme Monteiro,Operações,Ativo,Owner,Quarentena
Kamilly Silveira,Vendas,Inativo,Membro,Quarentena
Ísis Pastor,Marketing,Inativo,Membro,Quarentena
Rafaela Pacheco,Financeiro,Inativo,Membro,Quarentena
Laís Siqueira,Vendas,Inativo,Membro,Atualizado
Ravi Costa,RH,Ativo,Owner,Quarentena
Srta. Zoe Pimenta,Vendas,Ativo,Visitante,Quarentena
Daniela da Luz,Financeiro,Inativo,Visitante,Quarentena
Luiz Miguel Campos,Operações,Inativo,Owner,Quarentena
Kamilly Ramos,Vendas,Inativo,Visitante,Atualizado
Dr. Gabriel Gomes,Vendas,Ativo,Visitante,Atualizado
Dr. Luiz Fernando Castro,Financeiro,Ativo,Owner,Quarentena
Cecilia da Conceição,Financeiro,Ativo,Owner,Quarentena
Augusto Araújo,Financeiro,Inativo,Visitante,Atualizado
Luísa Guerra,Vendas,Inativo,Visitante,Atualizado
Oliver Rodrigues,Operações,Inativo,Visitante,Quarentena
Pedro Henrique Rezende,RH,Ativo,Visitante,Quarentena
Marina da Rosa,Marketing,Ativo,Membro,Atualizado
Raquel Fonseca,Vendas,Ativo,Visitante,Atualizado
Leonardo Ferreira,Marketing,Inativo,Visitante,Quarentena
Cecilia Viana,Vendas,Ativo,Membro,Quarentena
João Guilherme Borges,Operações,Inativo,Membro,Quarentena
Sra. Sophia Montenegro,Financeiro,Inativo,Visitante,Atualizado
Yago Rezende,Financeiro,Ativo,Owner,Atualizado
Antony Barros,Marketing,Inativo,Owner,Atualizado
Ana Duarte,Vendas,Inativo,Visitante,Atualizado
Manuella Câmara,TI,Ativo,Visitante,Quarentena
Luiz Otávio Ramos,TI,Ativo,Owner,Atualizado
Luiz Fernando Sampaio,Marketing,Ativo,Visitante,Quarentena
Sr. Enzo Caldeira,Marketing,Ativo,Visitante,Atualizado
Luiz Gustavo Nascimento,Operações,Inativo,Membro,Atualizado
Sabrina Moura,Operações,Inativo,Owner,Atualizado
Benício Ferreira,TI,Inativo,Membro,Quarentena
Dr. Vinicius Alves,Operações,Inativo,Visitante,Atualizado
Brenda Moreira,TI,Ativo,Owner,Quarentena
Luiza Campos,Financeiro,Inativo,Membro,Atualizado
Sara Pacheco,Marketing,Inativo,Visitante,Quarentena
Gustavo Cardoso,Operações,Ativo,Owner,Quarentena
Ana Julia Novaes,Marketing,Ativo,Owner,Quarentena
Ana Farias,Vendas,Ativo,Visitante,Atualizado
Pedro Miguel Gonçalves,Financeiro,Inativo,Membro,Quarentena
Raquel Jesus,Marketing,Inativo,Membro,Quarentena
Marcelo da Rosa,Vendas,Ativo,Owner,Atualizado
Gustavo da Luz,RH,Inativo,Visitante,Atualizado
Mathias Câmara,Operações,Ativo,Owner,Atualizado
Maria Luísa Cardoso,RH,Inativo,Visitante,Atualizado
Leandro da Luz,RH,Ativo,Visitante,Atualizado
Luiza Monteiro,TI,Ativo,Owner,Quarentena
Srta. Sara Vieira,Vendas,Inativo,Visitante,Atualizado
Ana Clara Aragão,TI,Ativo,Owner,Atualizado
Caio da Rocha,Operações,Inativo,Membro,Quarentena
Yago Câmara,Financeiro,Inativo,Membro,Quarentena
Sr. Leandro Gonçalves,Marketing,Inativo,Membro,Atualizado
Bruna Castro,Financeiro,Inativo,Visitante,Quarentena
Pedro Miguel Aragão,Marketing,Ativo,Owner,Quarentena
Marcos Vinicius Lima,Marketing,Inativo,Membro,Atualizado
Benício da Costa,TI,Ativo,Owner,Atualizado
Antonella Pacheco,RH,Ativo,Visitante,Atualizado
Alice Macedo,Vendas,Ativo,Visitante,Quarentena
João Felipe Freitas,Vendas,Ativo,Membro,Atualizado
Vinícius Campos,Operações,Ativo,Membro,Quarentena
Cecilia Pastor,Operações,Ativo,Visitante,Atualizado
Ana Clara Marques,TI,Ativo,Membro,Quarentena
Gael Henrique Borges,RH,Ativo,Visitante,Quarentena
Luan Sousa,Operações,Ativo,Membro,Atualizado
Marcos Vinicius Barros,Financeiro,Ativo,Owner,Quarentena
Ana Julia Pinto,RH,Inativo,Visitante,Atualizado
Sra. Cecília Moraes,RH,Ativo,Owner,Atualizado
Maria Eduarda Nunes,Marketing,Ativo,Visitante,Atualizado
Yasmin Gomes,Operações,Inativo,Visitante,Quarentena
Maria Cecília Montenegro,RH,Ativo,Owner,Quarentena
Lavínia Camargo,Financeiro,Ativo,Owner,Quarentena
Valentim Sá,TI,Ativo,Visitante,Atualizado
Benjamin Moraes,Financeiro,Inativo,Visitante,Quarentena
Davi Lucca Cassiano,Marketing,Ativo,Membro,Atualizado
Esther Souza,Financeiro,Inativo,Membro,Quarentena
Bento da Rocha,Vendas,Ativo,Owner,Atualizado
Srta. Juliana Dias,TI,Ativo,Visitante,Quarentena
Ana Clara Vargas,Marketing,Ativo,Membro,Atualizado
Yuri Almeida,Financeiro,Inativo,Visitante,Atualizado
Sra. Lunna Mendonça,Marketing,Ativo,Visitante,Atualizado
Sophie da Mota,TI,Inativo,Visitante,Atualizado
Gabriel Machado,TI,Ativo,Visitante,Atualizado
Lorenzo Cunha,Marketing,Inativo,Owner,Atualizado
Bruna Abreu,Operações,Inativo,Visitante,Atualizado
Luiz Henrique Monteiro,Marketing,Ativo,Membro,Atualizado
Sr. Murilo Mendes,Marketing,Inativo,Membro,Quarentena
Paulo Vieira,Financeiro,Inativo,Visitante,Quarentena
João Pedro da Rosa,Vendas,Ativo,Visitante,Quarentena
Srta. Mariah da Mota,Operações,Inativo,Membro,Quarentena
Ana Liz Cassiano,Vendas,Inativo,Visitante,Atualizado
Otto Guerra,Financeiro,Ativo,Membro,Atualizado
Manuella Ramos,Marketing,Ativo,Membro,Quarentena
Emilly Ribeiro,Vendas,Ativo,Visitante,Atualizado
Maitê Sousa,TI,Ativo,Visitante,Atualizado
Kamilly Nogueira,Financeiro,Inativo,Membro,Quarentena
Gael Henrique da Paz,Operações,Inativo,Membro,Atualizado
Matteo Rezende,TI,Ativo,Visitante,Atualizado
Hadassa Cunha,Vendas,Ativo,Membro,Atualizado
Theodoro Siqueira,Operações,Ativo,Owner,Quarentena
Bento Casa Grande,TI,Inativo,Membro,Atualizado
Dr. Theo Nascimento,Financeiro,Inativo,Membro,Atualizado
Yago Andrade,Vendas,Ativo,Owner,Quarentena
Gael Rodrigues,Financeiro,Inativo,Visitante,Atualizado
Yan Lopes,Operações,Ativo,Owner,Atualizado
Sofia Farias,Operações,Inativo,Visitante,Quarentena
Rhavi da Paz,Vendas,Ativo,Membro,Quarentena
Mariah Ferreira,Operações,Inativo,Visitante,Quarentena
João Guilherme Vieira,TI,Inativo,Visitante,Atualizado
Rael Porto,RH,Ativo,Membro,Quarentena
Miguel Moraes,Marketing,Inativo,Visitante,Quarentena
Thiago Novais,RH,Inativo,Membro,Quarentena
Augusto Rodrigues,Marketing,Inativo,Visitante,Quarentena
Ana Clara Cavalcante,RH,Inativo,Membro,Quarentena
Isis Freitas,RH,Ativo,Visitante,Quarentena
Luigi Câmara,RH,Inativo,Visitante,Atualizado
Isabella Garcia,Financeiro,Ativo,Visitante,Atualizado
Maria Isis Fernandes,Financeiro,Ativo,Membro,Quarentena
Erick Freitas,Financeiro,Ativo,Membro,Quarentena
Thales Borges,Vendas,Inativo,Visitante,Quarentena
Dr. Leandro Azevedo,Operações,Ativo,Owner,Quarentena
Diego Azevedo,TI,Ativo,Owner,Atualizado
Maria Eduarda Garcia,Marketing,Ativo,Visitante,Atualizado
Dr. Gael Novais,Financeiro,Ativo,Membro,Atualizado
Dra. Isadora Andrade,RH,Ativo,Visitante,Atualizado
Alexandre Sousa,RH,Ativo,Visitante,Quarentena
Larissa Barros,Marketing,Inativo,Visitante,Atualizado
Lorenzo Siqueira,Operações,Inativo,Membro,Atualizado
Camila Costela,Marketing,Inativo,Membro,Quarentena
João Vitor da Rocha,Operações,Inativo,Visitante,Quarentena
Francisco Correia,Marketing,Inativo,Owner,Atualizado
Yasmin Martins,RH,Inativo,Visitante,Quarentena
Miguel Siqueira,RH,Ativo,Visitante,Atualizado
Ana Vitória Pastor,Marketing,Inativo,Visitante,Quarentena
Alana Barros,Operações,Inativo,Membro,Atualizado
Bruno Vargas,RH,Inativo,Membro,Quarentena
Noah Borges,Marketing,Inativo,Visitante,Quarentena
Cauê Sousa,Operações,Inativo,Visitante,Quarentena
Luiz Otávio Cavalcante,Financeiro,Inativo,Owner,Atualizado
Dr. Marcelo Castro,Financeiro,Inativo,Membro,Atualizado
Mirella Aparecida,Financeiro,Inativo,Membro,Atualizado
Sr. Marcelo Azevedo,Vendas,Ativo,Membro,Quarentena
Maria Sophia Castro,Financeiro,Ativo,Membro,Quarentena
Sr. Benicio Sales,TI,Ativo,Owner,Quarentena
Dr. Benjamin Duarte,Marketing,Inativo,Visitante,Atualizado
Anna Liz da Paz,Marketing,Ativo,Visitante,Quarentena
Laura Castro,Vendas,Inativo,Membro,Atualizado
Bryan Oliveira,Financeiro,Inativo,Owner,Quarentena
Caroline Souza,Vendas,Inativo,Membro,Atualizado
Luiz Fernando Cavalcante,Financeiro,Inativo,Visitante,Quarentena
Alícia Viana,Financeiro,Ativo,Owner,Atualizado
Pedro das Neves,Marketing,Ativo,Visitante,Atualizado
Enzo Gabriel Fernandes,Vendas,Ativo,Visitante,Atualizado
João Pedro Silveira,RH,Inativo,Membro,Atualizado
Pedro Miguel Fogaça,Marketing,Ativo,Visitante,Quarentena
Sr. Gael Henrique Jesus,RH,Inativo,Visitante,Atualizado
José Pedro Cirino,Marketing,Inativo,Visitante,Atualizado
José Pedro Moraes,Vendas,Inativo,Visitante,Quarentena
Manuella Castro,TI,Inativo,Visitante,Atualizado
Maitê Abreu,Financeiro,Inativo,Membro,Atualizado
Valentim Melo,TI,Ativo,Visitante,Quarentena
Mariana Sales,RH,Ativo,Membro,Atualizado
Sr. André Vieira,Marketing,Ativo,Owner,Quarentena
Dra. Giovanna Câmara,RH,Inativo,Visitante,Atualizado
Melissa Correia,Financeiro,Ativo,Visitante,Atualizado
Dante Silveira,Vendas,Inativo,Visitante,Quarentena
Yuri Aragão,RH,Inativo,Visitante,Atualizado
Emilly Martins,Operações,Inativo,Owner,Quarentena
Matteo Machado,Operações,Inativo,Visitante,Atualizado
Felipe Garcia,RH,Inativo,Visitante,Atualizado
Dr. Renan da Cunha,Marketing,Inativo,Visitante,Atualizado
Maria Clara Macedo,Marketing,Ativo,Visitante,Quarentena
Isadora Rodrigues,Financeiro,Inativo,Owner,Quarentena
Natália Pacheco,Marketing,Inativo,Visitante,Quarentena
Dr. Gustavo Mendonça,Operações,Inativo,Membro,Atualizado
Isaque Lima,Vendas,Inativo,Visitante,Quarentena
Rael Cavalcante,RH,Inativo,Visitante,Atualizado
Henry Gabriel Mendes,TI,Ativo,Membro,Atualizado
Sra. Maria Liz Marques,RH,Inativo,Visitante,Quarentena
Marcos Vinicius Ferreira,Vendas,Inativo,Visitante,Quarentena
João Gabriel Campos,RH,Inativo,Visitante,Quarentena
Raquel Macedo,Marketing,Inativo,Membro,Atualizado
Ágatha Aragão,RH,Ativo,Membro,Atualizado
Davi Lucas Cirino,RH,Ativo,Visitante,Atualizado
Sr. Luigi Alves,TI,Ativo,Owner,Atualizado
Dr. Diego Duarte,Operações,Inativo,Membro,Quarentena
Sra. Heloísa Cavalcante,TI,Inativo,Visitante,Quarentena
Maria Isis Machado,Operações,Inativo,Visitante,Quarentena
Dr. Igor Sá,Vendas,Inativo,Visitante,Atualizado
Alexia Cassiano,RH,Ativo,Owner,Atualizado
Amanda Peixoto,RH,Inativo,Visitante,Quarentena
Sr. Thiago Campos,Operações,Inativo,Membro,Quarentena
Enzo Novais,Operações,Inativo,Membro,Atualizado
Letícia Araújo,Operações,Inativo,Visitante,Atualizado
Isis Pacheco,TI,Inativo,Owner,Atualizado
Brenda Barbosa,Financeiro,Ativo,Membro,Quarentena
Dra. Melina Albuquerque,Marketing,Ativo,Visitante,Quarentena
Antonella Duarte,Marketing,Inativo,Owner,Atualizado
Dra. Isadora Carvalho,Operações,Ativo,Membro,Quarentena
Vitória Leão,Vendas,Ativo,Visitante,Quarentena
Dra. Zoe Montenegro,TI,Inativo,Membro,Quarentena
Sr. Benício da Mota,Vendas,Inativo,Membro,Atualizado
Julia Ferreira,TI,Inativo,Visitante,Quarentena
Elisa Fonseca,TI,Inativo,Membro,Atualizado
Marcela da Rosa,RH,Ativo,Membro,Quarentena
João Pedro Albuquerque,Marketing,Ativo,Membro,Atualizado
Dra. Eloah Sales,Marketing,Ativo,Owner,Atualizado
Vitória Lopes,Marketing,Ativo,Owner,Quarentena
Beatriz Cirino,Operações,Ativo,Visitante,Quarentena
Aylla Moraes,Marketing,Inativo,Membro,Atualizado
Ana Laura Melo,Financeiro,Inativo,Visitante,Atualizado
Sra. Maria Helena Novais,Operações,Ativo,Membro,Quarentena
Ana Beatriz Cardoso,Vendas,Ativo,Membro,Quarentena
José Miguel Monteiro,RH,Ativo,Membro,Atualizado
Sra. Maria Alice Cunha,Marketing,Ativo,Owner,Atualizado
Sr. João Gabriel da Paz,Operações,Inativo,Visitante,Quarentena
Ana Vitória Aparecida,Financeiro,Ativo,Visitante,Quarentena
Sra. Luara Caldeira,Operações,Inativo,Visitante,Atualizado
Sr. Gael Henrique Santos,Financeiro,Ativo,Membro,Quarentena
Sabrina Rocha,Marketing,Inativo,Visitante,Quarentena
Leonardo Fernandes,TI,Inativo,Membro,Quarentena
